ニュースタイトル,記事URL
21ユーミンエンタメ/エンタメ総合,/comment-timeline?p=%E3%83%A6%E3%83%BC%E3%83%9F%E3%83%B3
22宝くじ経済/経済総合,/comment-timeline?p=%E5%AE%9D%E3%81%8F%E3%81%98
23年の瀬国内/社会,/comment-timeline?p=%E5%B9%B4%E3%81%AE%E7%80%AC
24ミュージアムマイルスポーツ/競馬,/comment-timeline?p=%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0%E3%83%9E%E3%82%A4%E3%83%AB
25ロシア国際/国際総合,/comment-timeline?p=%E3%83%AD%E3%82%B7%E3%82%A2
26人エンタメ/エンタメ総合,/comment-timeline?p=%E4%BA%BA
27同感国内/社会,/comment-timeline?p=%E5%90%8C%E6%84%9F
28コスモキュランダスポーツ/競馬,/comment-timeline?p=%E3%82%B3%E3%82%B9%E3%83%A2%E3%82%AD%E3%83%A5%E3%83%A9%E3%83%B3%E3%83%80
29青い珊瑚礁エンタメ/エンタメ総合,/comment-timeline?p=%E9%9D%92%E3%81%84%E7%8F%8A%E7%91%9A%E7%A4%81
30JFLスポーツ/サッカー,/comment-timeline?p=JFL
アクセスランキング,/ranking/access/news
1有吉弘行、生放送で「ご報告があります」まさかの告白にスタジオ騒然「え～っ！！！」スポニチアネックス12/28(日)21:12,https://news.yahoo.co.jp/articles/f9a8e8ad2438ab882952865559d372dfc68edf33
2「女子高校生コンクリ詰め殺人事件」準主犯格Bの孤独な最期　3年前51歳で自宅トイレで…加害者の“その後”から矯正や社会での処遇を考える《話題の記事2025》HBCニュース北海道12/28(日)8:29,https://news.yahoo.co.jp/articles/2afc2a9f66edd8a0249ae16686cd022cf185ea2f
3堂本光一が結婚を発表　お相手は芸能界を引退した元女優東スポWEB12/28(日)15:10,https://news.yahoo.co.jp/articles/3d0ef47d63fbe6072bb5c69ac1c610400f50cadc
4現在の借金額がヤバイ…鄭大世氏の衝撃告白に千鳥絶句　2億5000万円まで返済も「今月利息が払えない」スポニチアネックス12/28(日)20:51,https://news.yahoo.co.jp/articles/6e0350816ef804bbf6b3d977a425847863155115
5明石家さんま　ＴＶで「別れましてね…まぁ捨てられた、というのか」告白　藤本美貴「え～かわいそう」デイリースポーツ12/28(日)23:45,https://news.yahoo.co.jp/articles/753298a62415424737ea5e82b0ce6a5e211fa372
ヤフコメランキング,/ranking/comment
1【独自】障害年金、医師の判定を破棄　機構職員、ひそかにやり直し共同通信12/28(日)21:01,https://news.yahoo.co.jp/articles/615a270a7ba87c9c487a6a4050f5d2f87fe79171
2高市早苗政権「軍事化を加速」　ロシア外相、台湾巡り中国支持共同通信12/28(日)17:31,https://news.yahoo.co.jp/articles/c5993ae64bfc1aa80ba17f8036e6546ea4030add
3俳優新井浩文が６年10カ月ぶりに仕事復帰　20年に懲役４年確定で服役日刊スポーツ12/28(日)19:39,https://news.yahoo.co.jp/articles/cbeace131db67d6fb66e2481cdb1a7429f06d474
動画アクセスランキング,/ranking/access/video
1刃物が刺さった状態で発見…路上で配送業の35歳男性が背中を刺される 犯人は逃走し殺人未遂事件として捜査東海テレビ12/28(日)23:150:53,https://news.yahoo.co.jp/articles/5ba14fb8cd7f816817be8fa7dd0ba82450a98b10
2鬼怒川から親子の遺体見つかる　無理心中かテレビ朝日系（ANN）12/28(日)23:400:46,https://news.yahoo.co.jp/articles/45bd87d69561873dca810a92d339d72a2109fdf1
3「以前は日本に…」“渡航自粛”で中国のスキー場が…テレビ朝日系（ANN）12/28(日)18:292:41,https://news.yahoo.co.jp/articles/d02ddcd68ebd2717f9366b8bd941e16658a7f9eb
雑誌アクセスランキング,/ranking/access/magazine
1《ふっくら顔に回復》中居正広氏　トラブル発覚から1年…個人事務所は継続、拠点も都内に戻して狙う「再始動」女性自身12/28(日)16:00,https://news.yahoo.co.jp/articles/e6a0d84c5da3a5ee3c8052604291cd05f2417f83
2「ほぼ裸」と騒然の衣装も話題に。フィギュア界の常識を覆す26歳ベルギー選手、その「大人の美しさ」【注目Z世代アスリート④】ウィメンズヘルス12/28(日)21:00,https://news.yahoo.co.jp/articles/7b4677f142a7e768215610b65cc7dd7a05420c7d
3『紅白』松田聖子の土壇場出場で“究極の大トリ”に波紋…Mrs. GREEN APPLEよりも“格上”なのか？SmartFLASH12/28(日)19:44,https://news.yahoo.co.jp/articles/dda9ed47a94b3a33d482c6a704f9a690e6496c01
4「2億円以上の支払いも」脱税で起訴されたインフルエンサー・宮崎麗果被告が「マルサ」に狙われたワケFRIDAY12/28(日)12:00,https://news.yahoo.co.jp/articles/2202094937c662ccd1fef800aa38180a154d6f4b
5「高市首相は中国の誤解を解くために説明すべき」「右傾化すれば政権を問わずアラートを出す」前外相・岩屋毅氏がピシャリ《“存立危機事態”発言を中学生記者が直撃》NEWSポストセブン12/28(日)16:13,https://news.yahoo.co.jp/articles/95c309377041f8bf59bfd78d0faf4eb7ca48ce22
